ImageId,Label
1,2
2,0
3,9
4,7
5,3
6,7
7,0
8,3
9,0
10,3
11,3
12,3
13,3
14,0
15,4
16,3
17,2
18,1
19,9
20,0
21,9
22,1
23,8
24,3
25,7
26,9
27,2
28,7
29,9
30,7
31,2
32,0
33,4
34,3
35,6
36,3
37,0
38,5
39,3
40,6
41,7
42,7
43,4
44,9
45,3
46,7
47,3
48,3
49,6
50,1
51,6
52,3
53,8
54,3
55,9
56,2
57,1
58,2
59,4
60,0
61,9
62,1
63,7
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,3
74,8
75,2
76,3
77,3
78,9
79,2
80,3
81,3
82,4
83,1
84,0
85,4
86,3
87,4
88,3
89,6
90,7
91,3
92,0
93,6
94,6
95,3
96,4
97,3
98,9
99,7
100,9
101,0
102,3
103,3
104,0
105,7
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,4
114,3
115,1
116,2
117,1
118,1
119,3
120,3
121,3
122,7
123,2
124,8
125,6
126,3
127,3
128,7
129,8
130,9
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,4
142,3
143,4
144,3
145,3
146,8
147,7
148,3
149,3
150,3
151,4
152,3
153,3
154,6
155,3
156,3
157,7
158,3
159,7
160,8
161,3
162,0
163,4
164,5
165,1
166,3
167,7
168,6
169,3
170,0
171,3
172,7
173,9
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,3
183,3
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,2
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,7
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,3
227,9
228,6
229,3
230,0
231,0
232,4
233,9
234,1
235,2
236,3
237,2
238,3
239,3
240,6
241,3
242,6
243,2
244,3
245,9
246,3
247,9
248,3
249,3
250,4
251,4
252,7
253,1
254,3
255,8
256,4
257,3
258,1
259,4
260,2
261,2
262,3
263,3
264,3
265,7
266,0
267,6
268,3
269,6
270,1
271,6
272,0
273,6
274,3
275,3
276,4
277,1
278,5
279,8
280,4
281,0
282,9
283,2
284,0
285,3
286,3
287,7
288,3
289,9
290,9
291,5
292,9
293,7
294,4
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,3
304,2
305,6
306,3
307,9
308,1
309,9
310,5
311,8
312,6
313,9
314,0
315,0
316,3
317,8
318,8
319,1
320,3
321,4
322,1
323,1
324,9
325,8
326,4
327,3
328,1
329,3
330,3
331,6
332,3
333,1
334,3
335,0
336,3
337,0
338,3
339,6
340,8
341,6
342,2
343,1
344,8
345,6
346,0
347,6
348,6
349,3
350,2
351,6
352,7
353,7
354,3
355,5
356,8
357,9
358,4
359,2
360,3
361,3
362,6
363,3
364,8
365,9
366,2
367,3
368,3
369,1
370,6
371,4
372,8
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,5
384,4
385,2
386,6
387,2
388,1
389,3
390,9
391,1
392,7
393,0
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,2
408,3
409,3
410,5
411,3
412,3
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,5
421,9
422,6
423,6
424,5
425,3
426,1
427,4
428,7
429,4
430,3
431,4
432,8
433,5
434,3
435,8
436,1
437,3
438,3
439,5
440,0
441,3
442,4
443,7
444,4
445,4
446,4
447,1
448,5
449,3
450,9
451,9
452,7
453,6
454,9
455,5
456,2
457,2
458,3
459,3
460,5
461,6
462,7
463,3
464,0
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,9
474,5
475,6
476,0
477,1
478,3
479,1
480,0
481,4
482,3
483,1
484,2
485,9
486,4
487,3
488,8
489,3
490,7
491,0
492,4
493,3
494,4
495,2
496,0
497,8
498,3
499,3
500,0
501,6
502,5
503,4
504,2
505,1
506,3
507,3
508,3
509,0
510,6
511,7
512,5
513,3
514,7
515,3
516,3
517,3
518,3
519,4
520,3
521,2
522,4
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,4
533,3
534,8
535,3
536,5
537,6
538,3
539,7
540,3
541,0
542,3
543,8
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,3
555,0
556,0
557,7
558,5
559,6
560,2
561,0
562,3
563,3
564,1
565,6
566,5
567,4
568,1
569,3
570,4
571,2
572,3
573,3
574,3
575,0
576,4
577,8
578,2
579,4
580,3
581,3
582,1
583,2
584,6
585,9
586,1
587,7
588,0
589,8
590,3
591,8
592,8
593,4
594,5
595,2
596,6
597,0
598,6
599,0
600,3
601,1
602,1
603,7
604,1
605,6
606,2
607,8
608,0
609,6
610,9
611,7
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,7
621,3
622,5
623,9
624,4
625,0
626,3
627,3
628,3
629,6
630,7
631,6
632,1
633,8
634,6
635,1
636,4
637,9
638,7
639,8
640,3
641,0
642,4
643,9
644,6
645,4
646,2
647,4
648,4
649,1
650,8
651,9
652,9
653,0
654,0
655,3
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,2
667,1
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,3
676,7
677,7
678,8
679,6
680,0
681,6
682,9
683,3
684,1
685,3
686,3
687,4
688,6
689,9
690,9
691,3
692,6
693,0
694,1
695,8
696,4
697,3
698,9
699,9
700,8
701,4
702,0
703,4
704,0
705,6
706,0
707,6
708,4
709,6
710,0
711,5
712,8
713,1
714,5
715,3
716,6
717,2
718,3
719,7
720,3
721,9
722,3
723,1
724,0
725,1
726,0
727,6
728,4
729,7
730,4
731,7
732,1
733,3
734,2
735,3
736,7
737,1
738,3
739,1
740,3
741,4
742,4
743,3
744,4
745,3
746,9
747,2
748,7
749,3
750,0
751,4
752,9
753,4
754,4
755,1
756,4
757,7
758,1
759,1
760,3
761,3
762,0
763,4
764,0
765,4
766,0
767,0
768,3
769,1
770,8
771,2
772,5
773,0
774,1
775,4
776,3
777,4
778,6
779,3
780,1
781,1
782,2
783,2
784,8
785,3
786,5
787,3
788,9
789,3
790,3
791,3
792,0
793,4
794,0
795,4
796,3
797,1
798,6
799,9
800,3
801,1
802,1
803,3
804,3
805,1
806,9
807,9
808,6
809,3
810,1
811,5
812,9
813,7
814,3
815,4
816,4
817,0
818,9
819,7
820,4
821,3
822,0
823,3
824,0
825,1
826,9
827,0
828,4
829,4
830,2
831,3
832,3
833,5
834,9
835,3
836,9
837,2
838,1
839,3
840,3
841,1
842,9
843,0
844,3
845,4
846,6
847,7
848,2
849,3
850,3
851,3
852,9
853,7
854,7
855,2
856,3
857,1
858,3
859,4
860,3
861,0
862,4
863,1
864,4
865,3
866,3
867,6
868,9
869,3
870,3
871,4
872,3
873,4
874,3
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,4
883,3
884,3
885,2
886,7
887,1
888,5
889,4
890,4
891,1
892,7
893,6
894,0
895,4
896,2
897,9
898,4
899,8
900,1
901,3
902,3
903,3
904,7
905,4
906,3
907,3
908,3
909,2
910,7
911,3
912,0
913,4
914,7
915,1
916,8
917,4
918,6
919,1
920,0
921,3
922,3
923,3
924,3
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,4
935,8
936,3
937,7
938,7
939,9
940,3
941,6
942,2
943,6
944,1
945,0
946,9
947,3
948,2
949,9
950,3
951,6
952,7
953,0
954,2
955,3
956,3
957,3
958,3
959,0
960,2
961,7
962,9
963,4
964,0
965,0
966,3
967,1
968,8
969,8
970,3
971,3
972,2
973,2
974,6
975,7
976,0
977,3
978,0
979,7
980,4
981,3
982,8
983,7
984,4
985,7
986,7
987,0
988,3
989,3
990,2
991,1
992,9
993,0
994,6
995,3
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,3
1007,4
1008,2
1009,3
1010,9
1011,2
1012,6
1013,3
1014,9
1015,3
1016,7
1017,2
1018,3
1019,4
1020,3
1021,8
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,3
1034,3
1035,4
1036,8
1037,3
1038,3
1039,2
1040,0
1041,1
1042,6
1043,1
1044,9
1045,2
1046,2
1047,4
1048,7
1049,2
1050,6
1051,2
1052,6
1053,3
1054,3
1055,9
1056,1
1057,1
1058,3
1059,6
1060,7
1061,0
1062,0
1063,6
1064,0
1065,9
1066,4
1067,7
1068,0
1069,3
1070,9
1071,8
1072,3
1073,9
1074,6
1075,3
1076,2
1077,6
1078,1
1079,2
1080,9
1081,3
1082,0
1083,2
1084,3
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,8
1093,0
1094,3
1095,3
1096,6
1097,3
1098,3
1099,3
1100,3
1101,4
1102,2
1103,9
1104,1
1105,3
1106,3
1107,0
1108,6
1109,4
1110,6
1111,7
1112,3
1113,4
1114,1
1115,0
1116,3
1117,2
1118,6
1119,4
1120,9
1121,8
1122,0
1123,4
1124,1
1125,6
1126,3
1127,4
1128,6
1129,1
1130,2
1131,0
1132,3
1133,8
1134,0
1135,3
1136,6
1137,8
1138,3
1139,7
1140,7
1141,0
1142,0
1143,2
1144,1
1145,2
1146,3
1147,4
1148,3
1149,0
1150,3
1151,3
1152,7
1153,8
1154,4
1155,9
1156,3
1157,9
1158,1
1159,8
1160,3
1161,9
1162,1
1163,7
1164,0
1165,6
1166,4
1167,3
1168,2
1169,4
1170,2
1171,3
1172,2
1173,9
1174,1
1175,8
1176,1
1177,2
1178,7
1179,2
1180,3
1181,3
1182,3
1183,4
1184,4
1185,0
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,3
1193,3
1194,3
1195,8
1196,3
1197,3
1198,2
1199,3
1200,4
1201,4
1202,9
1203,3
1204,3
1205,1
1206,7
1207,9
1208,6
1209,4
1210,0
1211,6
1212,2
1213,8
1214,4
1215,3
1216,3
1217,3
1218,9
