ImageId,Label
1,1
2,0
3,1
4,4
5,0
6,0
7,7
8,3
9,3
10,3
11,8
12,9
13,1
14,3
15,3
16,1
17,8
18,0
19,7
20,6
21,8
22,6
23,2
24,0
25,3
26,3
27,6
28,9
29,9
30,7
31,3
32,2
33,4
34,4
35,7
36,1
37,3
38,1
39,1
40,4
41,3
42,1
43,4
44,4
45,2
46,6
47,3
48,7
49,7
50,4
51,7
52,3
53,1
54,3
55,0
56,2
57,2
58,3
59,9
60,1
61,6
62,3
63,4
64,0
65,6
66,3
67,4
68,3
69,1
70,0
71,3
72,9
73,2
74,2
75,6
76,4
77,9
78,1
79,4
80,1
81,3
82,4
83,3
84,9
85,2
86,3
87,9
88,3
89,9
90,4
91,3
92,6
93,4
94,6
95,2
96,9
97,1
98,2
99,0
100,3
101,4
102,2
103,7
104,7
105,4
106,8
107,8
108,3
109,0
110,6
111,0
112,0
113,2
114,3
115,0
116,4
117,7
118,8
119,1
120,3
121,7
122,9
123,4
124,6
125,3
126,3
127,7
128,6
129,3
130,0
131,4
132,3
133,2
134,3
135,1
136,1
137,7
138,3
139,7
140,3
141,1
142,0
143,3
144,4
145,5
146,4
147,0
148,0
149,4
150,3
151,3
152,5
153,1
154,0
155,8
156,3
157,7
158,0
159,3
160,2
161,6
162,9
163,8
164,4
165,6
166,9
167,3
168,3
169,4
170,2
171,4
172,8
173,2
174,3
175,3
176,8
177,8
178,2
179,2
180,4
181,9
182,3
183,1
184,0
185,4
186,1
187,5
188,4
189,0
190,2
191,2
192,3
193,7
194,0
195,6
196,0
197,0
198,8
199,3
200,2
201,0
202,3
203,6
204,0
205,0
206,4
207,7
208,2
209,7
210,1
211,9
212,9
213,3
214,9
215,8
216,4
217,6
218,6
219,1
220,3
221,8
222,1
223,8
224,7
225,1
226,3
227,7
228,6
229,3
230,4
231,3
232,4
233,3
234,2
235,3
236,6
237,3
238,7
239,9
240,2
241,2
242,2
243,7
244,3
245,4
246,3
247,9
248,2
249,0
250,1
251,4
252,6
253,2
254,3
255,7
256,1
257,1
258,1
259,4
260,7
261,0
262,2
263,9
264,3
265,0
266,5
267,6
268,0
269,8
270,3
271,6
272,2
273,0
274,0
275,7
276,2
277,0
278,4
279,2
280,0
281,9
282,1
283,6
284,9
285,3
286,0
287,0
288,2
289,0
290,6
291,8
292,4
293,0
294,7
295,2
296,1
297,9
298,3
299,2
300,4
301,8
302,3
303,2
304,4
305,7
306,3
307,2
308,9
309,7
310,4
311,3
312,3
313,2
314,1
315,3
316,6
317,3
318,6
319,8
320,8
321,3
322,7
323,0
324,9
325,2
326,7
327,9
328,0
329,5
330,4
331,6
332,8
333,4
334,3
335,3
336,1
337,7
338,8
339,9
340,7
341,6
342,2
343,1
344,7
345,0
346,3
347,6
348,0
349,3
350,4
351,0
352,4
353,4
354,2
355,2
356,2
357,9
358,0
359,7
360,7
361,2
362,2
363,6
364,3
365,4
366,2
367,0
368,3
369,9
370,0
371,2
372,1
373,9
374,0
375,6
376,0
377,4
378,3
379,4
380,3
381,1
382,5
383,4
384,2
385,9
386,3
387,7
388,3
389,1
390,3
391,4
392,3
393,3
394,7
395,3
396,8
397,6
398,4
399,8
400,6
401,1
402,1
403,9
404,0
405,0
406,5
407,8
408,6
409,7
410,4
411,2
412,3
413,0
414,2
415,3
416,4
417,8
418,3
419,0
420,6
421,4
422,3
423,6
424,9
425,1
426,3
427,1
428,5
429,4
430,7
431,4
432,3
433,2
434,0
435,6
436,0
437,7
438,4
439,2
440,9
441,8
442,9
443,6
444,3
445,2
446,4
447,4
448,6
449,4
450,8
451,4
452,1
453,7
454,3
455,8
456,4
457,3
458,4
459,3
460,7
461,5
462,3
463,2
464,2
465,7
466,2
467,8
468,9
469,1
470,3
471,3
472,6
473,0
474,2
475,2
476,9
477,1
478,2
479,7
480,2
481,1
482,3
483,4
484,9
485,1
486,8
487,0
488,2
489,2
490,3
491,4
492,1
493,3
494,3
495,4
496,1
497,4
498,1
499,5
500,3
501,6
502,9
503,0
504,3
505,7
506,6
507,3
508,2
509,0
510,7
511,3
512,8
513,3
514,2
515,8
516,2
517,3
518,8
519,5
520,3
521,4
522,7
523,1
524,2
525,4
526,5
527,3
528,1
529,3
530,1
531,9
532,4
533,6
534,3
535,3
536,4
537,2
538,3
539,0
540,3
541,1
542,4
543,0
544,5
545,1
546,2
547,4
548,2
549,0
550,3
551,6
552,8
553,0
554,4
555,9
556,0
557,0
558,5
559,9
560,2
561,3
562,5
563,9
564,4
565,4
566,3
567,4
568,2
569,3
570,5
571,6
572,3
573,2
574,4
575,2
576,4
577,2
578,4
579,1
580,2
581,5
582,3
583,8
584,6
585,1
586,0
587,7
588,5
589,4
590,5
591,1
592,6
593,9
594,7
595,1
596,6
597,3
598,3
599,1
600,2
601,2
602,0
603,3
604,0
605,6
606,3
607,3
608,6
609,3
610,7
611,3
612,8
613,1
614,7
615,3
616,3
617,9
618,2
619,3
620,3
621,7
622,4
623,3
624,2
625,3
626,6
627,4
628,0
629,1
630,3
631,6
632,9
633,2
634,1
635,6
636,0
637,2
638,3
639,0
640,8
641,3
642,3
643,1
644,2
645,2
646,8
647,9
648,3
649,1
650,4
651,4
652,5
653,1
654,8
655,0
656,7
657,9
658,7
659,0
660,6
661,9
662,4
663,5
664,6
665,2
666,5
667,7
668,4
669,9
670,2
671,3
672,0
673,3
674,4
675,8
676,0
677,0
678,9
679,7
680,7
681,9
682,3
683,2
684,1
685,6
686,3
687,5
688,1
689,1
690,9
691,8
692,7
693,8
694,6
695,4
696,7
697,3
698,3
699,1
700,6
701,4
702,3
703,7
704,4
705,1
706,8
707,3
708,3
709,1
710,7
711,1
712,1
713,8
714,6
715,4
716,3
717,9
718,3
719,1
720,2
721,8
722,9
723,0
724,9
725,2
726,2
727,3
728,3
729,0
730,3
731,0
732,2
733,0
734,3
735,3
736,8
737,3
738,5
739,7
740,0
741,5
742,9
743,0
744,5
745,9
746,1
747,5
748,1
749,1
750,2
751,6
752,5
753,0
754,4
755,3
756,1
757,4
758,0
759,2
760,2
761,8
762,0
763,7
764,1
765,0
766,8
767,5
768,6
769,3
770,2
771,9
772,4
773,3
774,6
775,0
776,3
777,4
778,1
779,5
780,4
781,3
782,0
783,8
784,0
785,6
786,2
787,7
788,6
789,6
790,6
791,8
792,6
793,7
794,2
795,2
796,0
797,6
798,0
799,8
800,0
801,4
802,3
803,6
804,7
805,4
806,3
807,9
808,9
809,7
810,0
811,4
812,1
813,2
814,2
815,3
816,2
817,7
818,0
819,4
820,0
821,3
822,5
823,8
824,7
825,7
826,4
827,1
828,4
829,0
830,1
831,1
832,2
833,3
834,6
835,2
836,0
837,6
838,6
839,1
840,9
841,4
842,5
843,2
